source,metabolite,comparison,direction,log2fc,control_mean,disease_mean,p_value,fdr,priority_score
Figure6D+F raw data.xlsx:FDR,methacholine,KO_or_PH_vs_WT_or_control,up,0.527076991217834,500950387.6,721872838.8,0.00860916856855168,0.0749955716014386,1.1200198320765786
sFig6A Raw data.xlsx,N-Acetylneuraminic acid,PH-mk_vs_Control-mk,up,0.06802437389811021,66248.43333333333,69446.92,,,1.0940798039143478
sFig6A Raw data.xlsx,glutathione disulfide,PH-mk_vs_Control-mk,up,0.07249605353038736,30226.926666666666,31784.653333333332,,,1.0842573650932992
Figure6D+F raw data.xlsx:FDR,alanine,KO_or_PH_vs_WT_or_control,down,-0.493185706175345,23222874.14,16498796.94,0.00938311611081302,0.0640449429668921,1.0818103215924835
sFig6A Raw data.xlsx,octulose-8-phosphate,PH-mk_vs_Control-mk,up,0.0754399858172416,18717.206666666665,19721.99,,,1.0763468370386446
sFig6A Raw data.xlsx,PI (40:0),PH-CD41_vs_Control-CD41,down,-0.06019135329077842,161565.63,154963.55666666667,,,1.0414169343023914
Figure6D+F raw data.xlsx:FDR,Indole-3-acetylaldehyde,KO_or_PH_vs_WT_or_control,down,-0.618534643277341,1414064.816,921025.884,0.0358368872693245,0.238102779299597,1.0040274127084605
sFig6A Raw data.xlsx,LysoPE(18:2),PH-mk_vs_Control-mk,down,-0.053260347166000796,258557.11333333337,249185.93666666668,,,0.9576279153196466
Figure6D+F raw data.xlsx:FDR,LysoPE(20:0),KO_or_PH_vs_WT_or_control,up,0.447500347936036,10825094.2,14761915.4,0.0165395523873275,0.0775855813241693,0.9443237284375502
Figure6D+F raw data.xlsx:FDR,D-erythrose-4-phosphate,KO_or_PH_vs_WT_or_control,down,-0.625850038396559,343083.762,222331.26,0.0526475699763965,0.312814351493533,0.9417248955564385
Figure6D+F raw data.xlsx:FDR,valine,KO_or_PH_vs_WT_or_control,down,-0.398308332563862,4780457.86,3627160.21,0.0053880196687905,0.0442243609911713,0.9377526157791294
Figure6D+F raw data.xlsx:Heatmap,valine,KO_or_PH_vs_WT_or_control,down,-0.398308332563862,4780457.86,3627160.21,0.0053880196687905,0.0442243609911713,0.9377526157791294
sFig6A Raw data.xlsx,PS(40:8),PH-CD41_vs_Control-CD41,up,0.052077242609811676,200869.46,208252.74,,,0.9200998308375651
Figure6D+F raw data.xlsx:FDR,C21:4,KO_or_PH_vs_WT_or_control,down,-0.609786996019388,945473.414,619562.53,0.0639718826988808,0.309911100189093,0.9200239771126119
Figure6D+F raw data.xlsx:FDR,NN-dimethylarginine,KO_or_PH_vs_WT_or_control,down,-0.651975754531402,837508.23,532997.074,0.182899074381998,0.416307074062684,0.9001087355290087
Figure6D+F raw data.xlsx:FDR,PG(18:0/18:2),KO_or_PH_vs_WT_or_control,down,-0.651743175875972,3733090.776,2376152.474,0.129712951003616,0.433097833113823,0.8885957633145299
Figure6D+F raw data.xlsx:FDR,decadienoylcarnitine,KO_or_PH_vs_WT_or_control,up,0.668791426342556,244481.172,388661.658,0.279483114638242,0.480096670399105,0.8819160635971182
